comment_id,parent_comment_id,author,text,published_at,likes,reply_count
UgwcECDjzu7YSriC_XV4AaABAg,,@ZahraniPutri-u1d,Apakah smp di bantul jogja jg gratis,2025-05-28T11:15:32Z,0,0
UgwcM6sHWDlz1k89eW14AaABAg,,@AlifiaMinawati-k9i,Wah makin ngeri aja nih. Udah bener swasta berbayar biar kualitasnya gak sebobrok negeri.,2025-05-28T10:29:30Z,0,0
Ugz4Mt-9YUGA-OE3gq94AaABAg,,@hermawanpurwanto6187,Kalau swasta siapa yg byr gurunya,2025-05-28T10:12:59Z,0,0
Ugx_RJmKzFS-1dMTM2V4AaABAg,,@tanpanamaaja2364,Tidak setuju. Biarkan anak2 dr keluarga mampu bersekolah dengan anak² dari keluarga mampu.,2025-05-28T10:09:39Z,0,0
UgzXBPdWlKkM1aFi_kl4AaABAg,,@iwanpapae690,Cuma Teori ... Praktek nya tetap ada pungutan,2025-05-28T09:45:53Z,0,0
UgwhC4Ur2zXnIxjvGQd4AaABAg,,@henzoaika,Gua suka tapi itu semua mustahil apalagi untuk swasta 👎 ngimpi 😂😂,2025-05-28T08:04:52Z,0,0
UgwuHlMGDe6DzOBZWWt4AaABAg,,@lionight.custom5693,Terus guru dapet gaji dr mana 😢,2025-05-28T05:00:43Z,0,0
UgzHaG-40-qGuze5FIx4AaABAg,,@YabYub-j4m,"Ga bakal bisa sekolah swasta gratis, gaji guru, oprasional dll, emang pemerintah mau subsidi, yg bos aja cuma upil dan masih ada penyelewengan. Yg ada sekolahnya malah jadi gembel/bobrok",2025-05-28T04:04:28Z,0,0
Ugwf49BsYbr8HTNlHwp4AaABAg,,@JendraSuwarna-wm2vf,"Jika sekolah swasta digratiskan,gaji guru2 bagaimana.Walau disubsidi pemerintah,selama ini begitu banyak pemotongan,korupsi terjadi.Sementara kualitas pendidikan hancur saat ini.Kecuali bersekolah mahal semisal SD IT,SMP IT dll. Sekolah berbayar tnggi maka sesuai yang didapat .Berkualitas.",2025-05-28T03:25:34Z,0,0
UgxCJ4UVPUBvYrX4rs14AaABAg,,@duniadalamberita5724,"jangan mau dibawa mimpi 
baca dan dengarkan dengan seksama (BAGI SEKOLAH SWASTA YANG MENERIMA BOS) berapa sekolah swasta sih yg dapet BOS tahun 2025 ini lihat saja d websitenya
Jaktim aja tahun 2025 ini utk bulan april yang mendapatkan bos sebesar 1M itu hanya 2 SEKOLAH SWASTA sisanya semua SD SMP SMU DAN SLB Sekolah Negeri
jadi mau mendapatkan pendidikan berkualitas yang benar n baik utk anak mah yah jalan 1 - 1 nya ortunya kerja keras biar banyak uang simple bgt 

jgn terus2an nyalahin negara beralibi semua hak warga negara sama, cape bgt dengernya ga maju2 jalan berpikirnya sdh era digitalisasi 5.0

ada lagi yg ngeluh masuk sekolah swasta disuruh bayar daftar ulang, uang gedung, karyawisata, wisuda.......... mau murah yah negeri lahh di negeri masih ada pungli2 lapor lah ke sudin pendidikan masing2 daerah
setiap pilihan itu selalu ada konsekuensinya
gitu aja kok repot",2025-05-28T02:54:25Z,0,0
UgxvHjAt-3j9HOGAWTV4AaABAg,,@AswanSir,Alhamdulillah,2025-05-28T02:51:27Z,0,0
UgznaOP00zjCy7lbuwN4AaABAg,,@Jeruk-e1s,Sma dan kuliah juga dong gratis😂,2025-05-28T02:45:55Z,0,0
UgzPTliiJo-yfa3n9_N4AaABAg,,@bond07282,"ini baru program pemerintah  yg bagus, jadi ini namanya keadilan bagi seluruh rakyat indonesia, jadi tidak perlu lagi harus berdesakan daftar di sekolah negri karena gratis... makin banyak kuota untuk sekolah gratis makin bagus buat masyarakat kecil. mending dana makan siang gratis dialokasikan untuk program ini saja.,  bisa untuk biaya gedung, seragam dan buku gratis.",2025-05-28T02:44:40Z,0,0
UgxQMaw87dvS1GRSttd4AaABAg,,@tonieshihab9442,"Gak jelas kebijaksanaannya, libas semua koruptor dan ambil hartanya  100% ....pasti gratis sampai kuliah",2025-05-28T02:41:12Z,0,0
UgzAGW9J8W9O3hqpNnl4AaABAg,,@CristalMaya1,Semoga gaji guru dinaikan,2025-05-28T02:34:31Z,0,0
UgxAeQscF_3tAq9cb954AaABAg,,@RizkhyDestatama,"Terus siapa yg membayar, SPP swasta loh ada yg senilai UMR jakarta. Satu kelas 20 anak saja sudah 100jt lebih, siapa yg mau bayari sekolah seperti ini.",2025-05-28T02:30:13Z,0,0
UgzT3pg022MsjI2eGo14AaABAg,,@kshatriya5534,Terus gaji guru siapa yg bayar? Apa gara2 gratis kualitas pendidikan Indonesia d jamin lebih baik ⁉️🫣,2025-05-28T02:20:17Z,0,0
Ugyu2Zk2nmRgpCy8y4l4AaABAg,,@hendrianlais9733,Yang meradang kepala sekolah dan ketua yayasan sekolah swasta..... Dapet cuan nya dikit kalau sekolah swasta gratis😂😂,2025-05-28T02:00:09Z,0,0
Ugylt9rIohgk9z6b7_V4AaABAg,,@rosidsujono4644,"Utk yg swasta pemerintah harus menjamin gaji guru, gedung, biaya ooerasional dan semua kebutuhan sekolah
Kalau gak. Sekolah swasta yo tombok lalu dr mana dananya",2025-05-28T01:58:12Z,0,0
Ugw8KH4_8ZH6Wx3OFlx4AaABAg,,@yosiairawan9044,"Ini yang dimaksudkan gratis itu apa? Cth buku LKS, buku paket, seragam, dll. Siapa yang berhak menerima gratis? Apakah orang yg berprestasi doang atau engga?",2025-05-28T01:18:32Z,0,0
