text,sentiment,username,created_at,likes,reply_count,url,sentiment_num,new,cleaning,no_stopwords,stemmed_text
MK Putuskan SD-SMP Swasta Gratis Komisi X DPR Dorong Perubahan Alokasi Dana Pendidikan https://t.co/3BqP6h7KBZ,neutral,,2025-05-30 04:22:59,1.0,0,https://x.com/undefined/status/1928306118851260564,2.0,MK Putuskan Sekolah Dasar-Sekolah Menengah Pertama Swasta Gratis Komisi X DPR Dorong Perubahan Alokasi Dana Pendidikan https://t.co/3BqP6h7KBZ,mk putuskan sekolah dasarsekolah menengah pertama swasta gratis komisi x dpr dorong perubahan alokasi dana pendidikan ,mk putuskan sekolah dasarsekolah menengah swasta gratis komisi x dpr dorong perubahan alokasi dana pendidikan,mk putus sekolah dasarsekolah tengah swasta gratis komisi x dpr dorong ubah alokasi dana pendidikan
Komisi X DPR RI berkomitmen mengawal implementasi putusan Mahkamah Konstitusi (MK) terkait sekolah gratis tingkat SD dan SMP baik swasta maupun negeri. Bagaimana anggarannya? Talk: Ketua Komisi X DPR RI Hetifah Sjaifudian Stream: https://t.co/NJaL0w26ct #E30511 https://t.co/Qmlb3Vf9Un,neutral,,2025-05-30 04:19:07,0.0,0,https://x.com/undefined/status/1928305143335825627,2.0,Komisi X DPR RI berkomitmen mengawal implementasi putusan Mahkamah Konstitusi (MK) terkait sekolah gratis tingkat Sekolah Dasar dan Sekolah Menengah Pertama baik swasta maupun negeri. Bagaimana anggarannya? Talk: Ketua Komisi X DPR RI Hetifah Sjaifudian Stream: https://t.co/NJaL0w26ct #E30511 https://t.co/Qmlb3Vf9Un,komisi x dpr ri berkomitmen mengawal implementasi putusan mahkamah konstitusi mk terkait sekolah gratis tingkat sekolah dasar dan sekolah menengah pertama baik swasta maupun negeri bagaimana anggarannya talk ketua komisi x dpr ri hetifah sjaifudian stream  e ,komisi x dpr ri berkomitmen mengawal implementasi putusan mahkamah konstitusi mk terkait sekolah gratis sekolah dasar sekolah menengah swasta negeri anggarannya talk ketua komisi x dpr ri hetifah sjaifudian stream e,komisi x dpr ri komitmen awal implementasi putus mahkamah konstitusi mk kait sekolah gratis sekolah dasar sekolah tengah swasta negeri anggar talk ketua komisi x dpr ri hetifah sjaifudian stream e
MK Putuskan SD-SMA Negeri dan Swasta Gratis Pakar Pendidikan: Tepat Sesuai Amanah UUD Pasal 31 https://t.co/PgzKuZ4gIh,neutral,,2025-05-30 04:11:28,3.0,2,https://x.com/undefined/status/1928303220549636270,2.0,MK Putuskan Sekolah Dasar-Sekolah Menengah Atas Negeri dan Swasta Gratis Pakar Pendidikan: Tepat Sesuai Amanah UUD Pasal 31 https://t.co/PgzKuZ4gIh,mk putuskan sekolah dasarsekolah menengah atas negeri dan swasta gratis pakar pendidikan tepat sesuai amanah uud pasal  ,mk putuskan sekolah dasarsekolah menengah negeri swasta gratis pakar pendidikan amanah uud pasal,mk putus sekolah dasarsekolah tengah negeri swasta gratis pakar pendidikan amanah uud pasal
Respons Wamendagri Bima Arya soal Pendidikan Gratis: Putusan MK Final Mengikat Harus Dilaksanakan https://t.co/y25FyZeWmw,neutral,,2025-05-30 04:03:08,3.0,0,https://x.com/undefined/status/1928301122600702456,2.0,Respons Wamendagri Bima Arya soal Pendidikan Gratis: Putusan MK Final Mengikat Harus Dilaksanakan https://t.co/y25FyZeWmw,respons wamendagri bima arya soal pendidikan gratis putusan mk final mengikat harus dilaksanakan ,respons wamendagri bima arya pendidikan gratis putusan mk final mengikat dilaksanakan,respons wamendagri bima arya pendidikan gratis putus mk final ikat laksana
Respons Pemkab Bantul Soal Putusan MK tentang Sekolah Gratis Negeri dan Swasta https://t.co/txORW7iKvf,neutral,,2025-05-30 03:50:46,0.0,0,https://x.com/undefined/status/1928298010431086939,2.0,Respons Pemkab Bantul Soal Putusan MK tentang Sekolah Gratis Negeri dan Swasta https://t.co/txORW7iKvf,respons pemkab bantul soal putusan mk tentang sekolah gratis negeri dan swasta ,respons pemkab bantul putusan mk sekolah gratis negeri swasta,respons pemkab bantul putus mk sekolah gratis negeri swasta
MK putuskan SD-SMP wajib gratis tapi di sekolah masih saja minta bayaran? Yuk bongkar faktanya https://t.co/D4QfyaC9V8 https://t.co/FGGhth3q1L,neutral,,2025-05-30 03:46:34,0.0,0,https://x.com/undefined/status/1928296955345785258,2.0,MK putuskan Sekolah Dasar-Sekolah Menengah Pertama wajib gratis tapi di sekolah masih saja minta bayaran? Ayo bongkar faktanya https://t.co/D4QfyaC9V8 https://t.co/FGGhth3q1L,mk putuskan sekolah dasarsekolah menengah pertama wajib gratis tapi di sekolah masih saja minta bayaran ayo bongkar faktanya  ,mk putuskan sekolah dasarsekolah menengah wajib gratis sekolah bayaran ayo bongkar faktanya,mk putus sekolah dasarsekolah tengah wajib gratis sekolah bayar ayo bongkar fakta
Realokasi anggaran pendidikan harus dilakukan setelah putusan MK secara adil untuk pendidikan dasar negeri dan swasta. Anggaran pendidikan harus diarahkan pada pembiayaan operasional sekolah tunjangan guru dan penyediaan fasilitas penunjang pendidikan dasar gratis...,neutral,,2025-05-30 03:43:41,0.0,0,https://x.com/undefined/status/1928296229064036605,2.0,Realokasi anggaran pendidikan harus dilakukan setelah putusan MK secara adil untuk pendidikan dasar negeri dan swasta. Anggaran pendidikan harus diarahkan pada pembiayaan operasional sekolah tunjangan guru dan penyediaan fasilitas penunjang pendidikan dasar gratis...,realokasi anggaran pendidikan harus dilakukan setelah putusan mk secara adil untuk pendidikan dasar negeri dan swasta anggaran pendidikan harus diarahkan pada pembiayaan operasional sekolah tunjangan guru dan penyediaan fasilitas penunjang pendidikan dasar gratis,realokasi anggaran pendidikan putusan mk adil pendidikan dasar negeri swasta anggaran pendidikan diarahkan pembiayaan operasional sekolah tunjangan guru penyediaan fasilitas penunjang pendidikan dasar gratis,realokasi anggar pendidikan putus mk adil pendidikan dasar negeri swasta anggar pendidikan arah biaya operasional sekolah tunjang guru sedia fasilitas tunjang pendidikan dasar gratis
Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/oWmYrsGpKu,neutral,,2025-05-30 03:41:14,0.0,0,https://x.com/undefined/status/1928295609695363383,2.0,Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/oWmYrsGpKu,presiden prabowo subianto diharapkan segera mengambil langkah tegas terhadap putusan mk yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta humaniora kompas ,presiden prabowo subianto diharapkan langkah putusan mk pendidikan dasar gratis sekolah negeri swasta humaniora kompas,presiden prabowo subianto harap langkah putus mk pendidikan dasar gratis sekolah negeri swasta humaniora kompas
Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/2RORV2iCiF,neutral,,2025-05-30 03:24:19,1.0,0,https://x.com/undefined/status/1928291353626132847,2.0,Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/2RORV2iCiF,presiden prabowo subianto diharapkan segera mengambil langkah tegas terhadap putusan mk yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta humaniora kompas ,presiden prabowo subianto diharapkan langkah putusan mk pendidikan dasar gratis sekolah negeri swasta humaniora kompas,presiden prabowo subianto harap langkah putus mk pendidikan dasar gratis sekolah negeri swasta humaniora kompas
Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/OM84fL1PVH,neutral,,2025-05-30 03:24:11,0.0,0,https://x.com/undefined/status/1928291322806378782,2.0,Presiden Prabowo Subianto diharapkan segera mengambil langkah tegas terhadap putusan MK yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta. #Humaniora #Kompas60 https://t.co/OM84fL1PVH,presiden prabowo subianto diharapkan segera mengambil langkah tegas terhadap putusan mk yang menegaskan pendidikan dasar gratis di sekolah negeri dan swasta humaniora kompas ,presiden prabowo subianto diharapkan langkah putusan mk pendidikan dasar gratis sekolah negeri swasta humaniora kompas,presiden prabowo subianto harap langkah putus mk pendidikan dasar gratis sekolah negeri swasta humaniora kompas
